seed_a,seed_b,spearman,jaccard_top5,jaccard_top10
8,9,0.950736,0.662921,0.670455
8,10,0.955578,0.591398,0.739645
8,11,0.935898,0.574468,0.661017
8,12,0.943515,0.626374,0.651685
8,13,0.952121,0.541667,0.689655
8,14,0.957936,0.574468,0.661017
8,15,0.945253,0.644444,0.597826
8,16,0.955433,0.644444,0.689655
8,17,0.950998,0.574468,0.670455
8,18,0.950671,0.626374,0.699422
8,19,0.943699,0.541667,0.68
8,20,0.947392,0.557895,0.709302
8,21,0.953211,0.574468,0.689655
8,22,0.940676,0.644444,0.606557
8,23,0.952721,0.626374,0.642458
8,24,0.953353,0.626374,0.75
8,25,0.94872,0.608696,0.68
8,26,0.955515,0.608696,0.670455
8,27,0.942761,0.608696,0.624309
8,28,0.954789,0.626374,0.689655
8,29,0.947417,0.626374,0.68
9,10,0.945111,0.591398,0.661017
9,11,0.926176,0.626374,0.589189
9,12,0.939074,0.701149,0.624309
9,13,0.945708,0.591398,0.68
9,14,0.948757,0.626374,0.661017
9,15,0.941013,0.662921,0.651685
9,16,0.950549,0.574468,0.661017
9,17,0.949942,0.574468,0.642458
9,18,0.941475,0.574468,0.624309
9,19,0.934107,0.557895,0.633333
9,20,0.940044,0.557895,0.699422
9,21,0.947323,0.608696,0.580645
9,22,0.943731,0.662921,0.624309
9,23,0.947933,0.608696,0.642458
9,24,0.946071,0.626374,0.642458
9,25,0.947165,0.608696,0.651685
9,26,0.942946,0.662921,0.68
9,27,0.950338,0.626374,0.661017
9,28,0.950862,0.626374,0.670455
9,29,0.942629,0.626374,0.642458
10,11,0.939986,0.608696,0.661017
10,12,0.934761,0.608696,0.68
10,13,0.948478,0.574468,0.689655
10,14,0.948111,0.626374,0.642458
10,15,0.939139,0.574468,0.633333
10,16,0.952617,0.662921,0.670455
10,17,0.951324,0.557895,0.699422
10,18,0.947917,0.541667,0.642458
10,19,0.937017,0.557895,0.670455
10,20,0.94964,0.626374,0.709302
10,21,0.948997,0.608696,0.642458
10,22,0.942362,0.608696,0.633333
10,23,0.944677,0.541667,0.615385
10,24,0.944642,0.541667,0.699422
10,25,0.949941,0.591398,0.68
10,26,0.950041,0.608696,0.633333
10,27,0.949809,0.591398,0.670455
10,28,0.942637,0.574468,0.642458
10,29,0.940528,0.574468,0.670455
11,12,0.94015,0.591398,0.68
11,13,0.942192,0.541667,0.615385
11,14,0.935838,0.574468,0.624309
11,15,0.919119,0.591398,0.615385
11,16,0.94433,0.662921,0.651685
11,17,0.938539,0.662921,0.670455
11,18,0.94579,0.626374,0.719298
11,19,0.938919,0.608696,0.624309
11,20,0.92814,0.541667,0.651685
11,21,0.937632,0.626374,0.624309
11,22,0.928888,0.557895,0.555556
11,23,0.933603,0.557895,0.56383
11,24,0.928358,0.591398,0.661017
11,25,0.946538,0.626374,0.670455
11,26,0.940985,0.591398,0.624309
11,27,0.939804,0.608696,0.651685
11,28,0.938358,0.557895,0.651685
11,29,0.938742,0.644444,0.642458
12,13,0.952155,0.662921,0.68
12,14,0.94535,0.681818,0.699422
12,15,0.943067,0.681818,0.709302
12,16,0.941415,0.626374,0.642458
12,17,0.935976,0.574468,0.661017
12,18,0.952234,0.557895,0.699422
12,19,0.929071,0.510204,0.651685
12,20,0.941125,0.591398,0.699422
12,21,0.946414,0.72093,0.699422
12,22,0.951355,0.741176,0.689655
12,23,0.950295,0.681818,0.68
12,24,0.939136,0.608696,0.689655
12,25,0.953032,0.662921,0.699422
12,26,0.94912,0.662921,0.651685
12,27,0.947508,0.608696,0.651685
12,28,0.939699,0.626374,0.661017
12,29,0.94896,0.591398,0.633333
13,14,0.942157,0.557895,0.633333
13,15,0.941448,0.591398,0.633333
13,16,0.949665,0.557895,0.661017
13,17,0.944459,0.510204,0.651685
13,18,0.948722,0.557895,0.689655
13,19,0.94177,0.574468,0.624309
13,20,0.948004,0.541667,0.729412
13,21,0.950548,0.608696,0.689655
13,22,0.946412,0.591398,0.68
13,23,0.952501,0.541667,0.651685
13,24,0.937987,0.574468,0.651685
13,25,0.946653,0.574468,0.68
13,26,0.955662,0.644444,0.68
13,27,0.943893,0.574468,0.642458
13,28,0.945664,0.574468,0.651685
13,29,0.950995,0.541667,0.651685
14,15,0.943295,0.626374,0.642458
14,16,0.95295,0.541667,0.651685
14,17,0.952693,0.608696,0.689655
14,18,0.947351,0.591398,0.615385
14,19,0.939713,0.591398,0.642458
14,20,0.941853,0.557895,0.689655
14,21,0.955367,0.626374,0.68
14,22,0.93879,0.525773,0.661017
14,23,0.95908,0.591398,0.699422
14,24,0.949557,0.510204,0.68
14,25,0.944013,0.591398,0.661017
14,26,0.952286,0.608696,0.633333
14,27,0.944412,0.626374,0.699422
14,28,0.948764,0.608696,0.670455
14,29,0.938793,0.608696,0.615385
15,16,0.935825,0.591398,0.56383
15,17,0.950336,0.574468,0.633333
15,18,0.939818,0.644444,0.615385
15,19,0.937412,0.525773,0.597826
15,20,0.943389,0.557895,0.642458
15,21,0.940802,0.608696,0.606557
15,22,0.941626,0.72093,0.624309
15,23,0.951867,0.72093,0.689655
15,24,0.935963,0.626374,0.606557
15,25,0.938045,0.626374,0.661017
15,26,0.949028,0.608696,0.661017
15,27,0.942206,0.644444,0.642458
15,28,0.939048,0.626374,0.651685
15,29,0.93206,0.591398,0.597826
16,17,0.953674,0.608696,0.68
16,18,0.955654,0.557895,0.661017
16,19,0.946865,0.525773,0.642458
16,20,0.950942,0.608696,0.689655
16,21,0.950483,0.608696,0.651685
16,22,0.942247,0.591398,0.547368
16,23,0.946543,0.574468,0.580645
16,24,0.95213,0.591398,0.624309
16,25,0.948803,0.626374,0.699422
16,26,0.95275,0.662921,0.624309
16,27,0.951795,0.608696,0.633333
